"FileName","Path","ApplicationName","Publisher","Hash","HashAlgorithm","Status"
"MicrosoftSqlToolsCredentials.exe","C:\Program Files\Azure Data Studio\resources\app\extensions\mssql\sqltoolsservice\Windows\5.0.20250115.1\MicrosoftSqlToolsCredentials.exe","Microsoft Sql Tools","Microsoft","45A70B89525B565B14F0486FD44FF73E8AC83D874689F04AB6DF416412C5D758","SHA256","Processed"
"MicrosoftSqlToolsMigration.exe","C:\Program Files\Azure Data Studio\resources\app\extensions\mssql\sqltoolsservice\Windows\5.0.20250115.1\MicrosoftSqlToolsMigration.exe","Microsoft Sql Tools","Microsoft","747EC8B858E596245A44E0326B722525FA51D2E7A7C838F805149D19F03CD776","SHA256","Processed"
"MicrosoftSqlToolsServiceLayer.exe","C:\Program Files\Azure Data Studio\resources\app\extensions\mssql\sqltoolsservice\Windows\5.0.20250115.1\MicrosoftSqlToolsServiceLayer.exe","Microsoft Sql Tools","Microsoft","AA8B6BB31E1E555688F1568E2E40898D4F47E6194017DD8ED58860C4D5B55853","SHA256","Processed"
"pvk2pfx.exe","C:\Program Files\Azure Data Studio\resources\app\extensions\mssql\sqltoolsservice\Windows\5.0.20250115.1\pvk2pfx.exe","Microsoft? Windows? Operating System","Microsoft Corporation","25B6BFEE142272CEF2075D8E9B4BF116ADB3A0AA5AE18A6FA2DBFF6CA06AF1C6","SHA256","Processed"
"SqlToolsResourceProviderService.exe","C:\Program Files\Azure Data Studio\resources\app\extensions\mssql\sqltoolsservice\Windows\5.0.20250115.1\SqlToolsResourceProviderService.exe","Sql Tools Service for Resource Provider services","Microsoft","3888DC6727490CA958466F5510BF28F9EE42917F2AE02587CC2510800EEEAA7C","SHA256","Processed"
"rg.exe","C:\Program Files\Azure Data Studio\resources\app\node_modules.asar.unpacked\@vscode\ripgrep\bin\rg.exe","rg","","EF99F766A997BA4B7FE861F4F18A765E4846BCA91A7749C90F443A238421B871","SHA256","Processed"
"winpty-agent.exe","C:\Program Files\Azure Data Studio\resources\app\node_modules.asar.unpacked\node-pty\build\Release\winpty-agent.exe","winpty-agent","","F42572F7C08B87841C51BDF1FCEBD962569EE8A4E9416C7F23F4317D64BFF265","SHA256","Processed"
"inno_updater.exe","C:\Program Files\Azure Data Studio\tools\inno_updater.exe","inno_updater","","74A796B5DE84BF6F178F67D66E0308CF51C78DF44F1381B6BA48AAA01B641774","SHA256","Processed"
"setup.exe","C:\Program Files\Common Files\Adobe\Acrobat\Setup Files\{AC76BA86-1033-FFFF-7760-BC15014EA700}\setup.exe","Bootstrapper Small","Adobe Systems Incorporated","B3790DB7757F4D93143AE654787E70C154E81F5B730D7BEA5F534A1461874324","SHA256","Processed"
"WindowsInstaller-KB893803-v2-x86.exe","C:\Program Files\Common Files\Adobe\Acrobat\Setup Files\{AC76BA86-1033-FFFF-7760-BC15014EA700}\WindowsInstaller-KB893803-v2-x86.exe","MSI 3.1","Microsoft Corporation","69B61B2C00323CEA3686315617D0F452E205DAE10C47E02CBE1EA96FEA38F582","SHA256","Processed"
"appvcleaner.exe","C:\Program Files\Common Files\microsoft shared\ClickToRun\appvcleaner.exe","Microsoft Office","Microsoft Corporation","4E1A424AB4CEE8C6245EB9670C479F1A37EDFF6995A876D4181FBB36E543E473","SHA256","Processed"
"AppVShNotify.exe","C:\Program Files\Common Files\microsoft shared\ClickToRun\AppVShNotify.exe","Microsoft Office","Microsoft Corporation","FBC5D23F2AB39D5FFFBE5934EABE361B3E11D9ED42FF7967F58BADE0D5213294","SHA256","Processed"
"InspectorOfficeGadget.exe","C:\Program Files\Common Files\microsoft shared\ClickToRun\InspectorOfficeGadget.exe","Microsoft.Office.C2R.InspectorOfficeGadget","Microsoft Corporation","D2E59A4DE04C12E5D2A24EB6437CDAD4098FA6DCA072BC67CD0A2D994136FBD2","SHA256","Processed"
"IntegratedOffice.exe","C:\Program Files\Common Files\microsoft shared\ClickToRun\IntegratedOffice.exe","Microsoft Office","Microsoft Corporation","9EBB15A1246CCA337A08FC484C68D3ECCBB04B05D3A985CF48CD24815CD34FA9","SHA256","Processed"
"MavInject32.exe","C:\Program Files\Common Files\microsoft shared\ClickToRun\MavInject32.exe","Microsoft Office","Microsoft Corporation","B95A41D60FAC19566BA9E77737F157FE3EA3845F53E3E3AA4F89D63F829BFC48","SHA256","Processed"
"OfficeC2RClient.exe","C:\Program Files\Common Files\microsoft shared\ClickToRun\OfficeC2RClient.exe","Microsoft 365 and Office","Microsoft Corporation","2D35DE1B0B73AD561D4872DCF93EFB968CDEAB8A696E4F9C4CE122E01639F02D","SHA256","Processed"
"OfficeClickToRun.exe","C:\Program Files\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe","Microsoft 365 and Office","Microsoft Corporation","DEBE59AE4767CCA40C3E5F928ABBC306113D3635AAD81508E22FE7A5DF325060","SHA256","Processed"
"officesvcmgr.exe","C:\Program Files\Common Files\microsoft shared\ClickToRun\officesvcmgr.exe","Microsoft Office Serviceability Manager","Microsoft Corporation","0630F312C972CCA0B9D997E75E2C0D4C34E717DA8782DEC5DD2A80CD3285A2D6","SHA256","Processed"
"OfficeClickToRun.exe","C:\Program Files\Common Files\microsoft shared\ClickToRun\backup\15A228C0-7DF6-43EC-BA00-7D3B87EF0A5E\OfficeClickToRun.exe","Microsoft Office","Microsoft Corporation","B5728CADD19271738AFB33208131DD66C7CFA11DD2D32134DA58ED1CE3786F05","SHA256","Processed"
"TabTip.exe","C:\Program Files\Common Files\microsoft shared\ink\TabTip.exe","Microsoft? Windows? Operating System","Microsoft Corporation","38F77DE6656D505D807993A6A2866F5291DDBACB33533DB304384B05CF140AC0","SHA256","Processed"
"msinfo32.exe","C:\Program Files\Common Files\microsoft shared\MSInfo\msinfo32.exe","Microsoft? Windows? Operating System","Microsoft Corporation","B2F44536CCE1561683DBFB3A05BF79595B057420C7D942ADF311F0073AC083A0","SHA256","Processed"
"LICLUA.EXE","C:\Program Files\Common Files\microsoft shared\OFFICE16\LICLUA.EXE","Office Licensing Admin Access Provider","Microsoft Corporation","5EB342E59FDC97547314A758D4B797FD90522215425CCAD47D8FA1C9028F3BB6","SHA256","Processed"
"VSTOInstaller.exe","C:\Program Files\Common Files\microsoft shared\VSTO\10.0\VSTOInstaller.exe","Microsoft? Visual Studio? 2010","Microsoft Corporation","FADF0CC5A2CB10055B17DF60815C5210CBA0C5255BA636B13FE8A480AF297C99","SHA256","Processed"
"install.exe","C:\Program Files\Common Files\microsoft shared\VSTO\10.0\Microsoft Visual Studio 2010 Tools for Office Runtime (x64)\install.exe","Microsoft? Visual Studio? 2010","Microsoft Corporation","E6D89C3357986C91AE6B6CC0EAD37DAE7B5BE3833C826CEF6A9D0F400CF065D2","SHA256","Processed"
"CptControl.exe","C:\Program Files\Common Files\Zoom\Support\CptControl.exe","Zoom Video Call","Zoom Communications, Inc.","2A0B26DD703B64FA5835A45ADF937676E7603738AFE890C0C1BCA793284C702D","SHA256","Processed"
"CptInstall.exe","C:\Program Files\Common Files\Zoom\Support\CptInstall.exe","Zoom Video Call","Zoom Communications, Inc.","85D831994F299EEBCD9EC906EF65D3B1A20AF9C3EF3D0C6F27AF9C48C1BDEE6C","SHA256","Processed"
"CptService.exe","C:\Program Files\Common Files\Zoom\Support\CptService.exe","Zoom Video Call","Zoom Communications, Inc.","F9233160DEBB17B11717A84041344B2859125E45CB61B4CD93131EA0C807C53C","SHA256","Processed"
"dcu-cli.exe","C:\Program Files\Dell\CommandUpdate\dcu-cli.exe","Dell Command | Update","Dell Inc.","84C91FE5C7A2E158E6D56AD4A9216E8F9185AC5D47FDA986B57A7E986454110A","SHA256","Processed"
"DPM.exe","C:\Program Files\Dell\Dell Peripheral Manager\DPM.exe","Dell Peripheral Manager","Dell Inc.","710FC14FB30B5E8C4DE7AE308243E1B429931B634A4FFEC47CC77A6FF3F6013A","SHA256","Processed"
"DPMCrashHandler.exe","C:\Program Files\Dell\Dell Peripheral Manager\DPMCrashHandler.exe","DPMCrashHandler","","AE587A5BAD0697131276BD612DDAAE7C9757A07234F93B8F6EB5582BB7167DFF","SHA256","Processed"
"DPMService.exe","C:\Program Files\Dell\Dell Peripheral Manager\DPMService.exe","Dell Peripheral Manager","Dell Inc.","1A1914D9D70D342A76346C49848E6591CDED164B3932F494A140DE98021495B4","SHA256","Processed"
"Uninstall.exe","C:\Program Files\Dell\Dell Peripheral Manager\Uninstall.exe","Dell Peripheral Manager","Dell","27C71337704C50365AF902A7F2E02B8871D868D4A938E1AD1AC0F29F90C0193C","SHA256","Processed"
"Dell.TechHub.Analytics.SubAgent.exe","C:\Program Files\Dell\DTP\AnalyticsSubAgent\Dell.TechHub.Analytics.SubAgent.exe","Dell Analytics","Dell, Inc.","AAC4CB84827FB26EA0BC6A23591DE097A2A9BA66BC8FF2E0C31D9C86C0A390DA","SHA256","Processed"
"Dell.TechHub.DataManager.SubAgent.exe","C:\Program Files\Dell\DTP\DataManagerSubAgent\Dell.TechHub.DataManager.SubAgent.exe","Dell Data Manager","Dell, Inc.","B32F5E0CDE14AD42C7885271F908D4A8E663567CA3038DC71BE6E1B7C8BC2C45","SHA256","Processed"
"Dell.TechHub.Instrumentation.SubAgent.exe","C:\Program Files\Dell\DTP\InstrumentationSubAgent\Dell.TechHub.Instrumentation.SubAgent.exe","Dell Instrumentation","Dell, Inc.","9F0002D59E9D1FB686A3E6398D28C65B5414985F12E2A3BE9828B4D28BE3B9C1","SHA256","Processed"
"Dell.TechHub.Instrumentation.UserProcess.exe","C:\Program Files\Dell\DTP\InstrumentationSubAgent\Dell.TechHub.Instrumentation.UserProcess.exe","Dell Instrumentation's User Process","Dell, Inc.","AD75FD8D77B233D00982000305013A1771D88BA6030F4A7ACE0606C7C9AAFAAF","SHA256","Processed"
"symchk.exe","C:\Program Files\Dell\DTP\InstrumentationSubAgent\symchk.exe","Microsoft? Windows? Operating System","Microsoft Corporation","B5155E0AD2EBF18AA1888E5F738E46962B9E9A61FAFFA0BD0BA3236770226F53","SHA256","Processed"
"symstore.exe","C:\Program Files\Dell\DTP\InstrumentationSubAgent\symstore.exe","Microsoft? Windows? Operating System","Microsoft Corporation","F8912FD0FCA0031CCE7DA54D0077965DAAD529A2C04CD925AB50EBA55FD65C3E","SHA256","Processed"
"Dell.UCA.Manager.exe","C:\Program Files\Dell\MyDell\Manager\Dell.UCA.Manager.exe","MyDell","Dell","819FFC72FFA9E5F94ADDE7FFCAEC8FB9AB3F48FB202F57400FAB1C59D39E4F40","SHA256","Processed"
"MyDell.Updater.exe","C:\Program Files\Dell\MyDell\Updater\MyDell.Updater.exe","DCUClientUpdater","Dell Technologies, Inc.","83C49A6FFDB17AADF14230D51E655CA41C4452453D9A5FC165CB72BC8BD30AF5","SHA256","Processed"
"Dell.CoreServices.Client.exe","C:\Program Files\Dell\TechHub\Dell.CoreServices.Client.exe","Dell TechHub Settings","Dell","B99148DFCC995568D307188691AF23492AE6D58EBDDA1F1C652F6A56C1A1A0C9","SHA256","Processed"
"Dell.TechHub.exe","C:\Program Files\Dell\TechHub\Dell.TechHub.exe","Dell TechHub Settings","Dell","4ADCBE3E01E049E551FBE0C56E9F543F4F875814C655F4E26C258492E97903D5","SHA256","Processed"
"dpinst.exe","C:\Program Files\DIFX\E68C45B250901231\dpinst.exe","Driver Package Installer (DPInst)","Microsoft Corporation","CDD0B13EEFADC1AD1FD815D188C377671C46A6822EE95590ACA19F83B112C5F5","SHA256","Processed"
"dotnet.exe","C:\Program Files\dotnet\dotnet.exe",".NET","Microsoft Corporation","C8F0864EDC87B14E764B744DB6E5A27D5D1B9B9F099CC7FF0A2D8B462A60FD92","SHA256","Processed"
"createdump.exe","C:\Program Files\dotnet\shared\Microsoft.NETCore.App\8.0.17\createdump.exe","Microsoft? .NET","Microsoft Corporation","E412AAFA406B09634EA180D056EEC21915137DE63CBE6372AE560D2B0099FFBE","SHA256","Processed"
"jabswitch.exe","C:\Program Files\Eclipse Adoptium\jdk-17.0.15.6-hotspot\bin\jabswitch.exe","OpenJDK Platform 17.0.15","Eclipse Adoptium","141D5942953D78E2118CD0469DB40AC78041C4C2BE4990569CD3AB6217DF4293","SHA256","Processed"
"jaccessinspector.exe","C:\Program Files\Eclipse Adoptium\jdk-17.0.15.6-hotspot\bin\jaccessinspector.exe","OpenJDK Platform 17.0.15","Eclipse Adoptium","941F1048BA333E1F207CA0E9B6AC692E9496C54788BB268BCAAFE293FD37108F","SHA256","Processed"
"jaccesswalker.exe","C:\Program Files\Eclipse Adoptium\jdk-17.0.15.6-hotspot\bin\jaccesswalker.exe","OpenJDK Platform 17.0.15","Eclipse Adoptium","A3D64E71471A83660D755A557BD75EF4ECB7F4EA60391112CA79D643021E47E6","SHA256","Processed"
"jar.exe","C:\Program Files\Eclipse Adoptium\jdk-17.0.15.6-hotspot\bin\jar.exe","OpenJDK Platform 17.0.15","Eclipse Adoptium","23D7F2AEF85F4E870CDB77E2F78DE4A6F5EE246811B857FCC60FC03181DCB682","SHA256","Processed"
"jarsigner.exe","C:\Program Files\Eclipse Adoptium\jdk-17.0.15.6-hotspot\bin\jarsigner.exe","OpenJDK Platform 17.0.15","Eclipse Adoptium","02A7E0B19F62ECDD1F389FB88F2D1682305A1346BD356D72781A39E7ECB435CC","SHA256","Processed"
"java.exe","C:\Program Files\Eclipse Adoptium\jdk-17.0.15.6-hotspot\bin\java.exe","OpenJDK Platform 17.0.15","Eclipse Adoptium","E740D3D7D0E02BC2F716312A098A862860AEEBEBDB53668F4CE77C6C1166B55A","SHA256","Processed"
"javac.exe","C:\Program Files\Eclipse Adoptium\jdk-17.0.15.6-hotspot\bin\javac.exe","OpenJDK Platform 17.0.15","Eclipse Adoptium","F14578FD5180D877467BD264479787E7BE39540E35A3BE24DF5EFC0819453493","SHA256","Processed"
"javadoc.exe","C:\Program Files\Eclipse Adoptium\jdk-17.0.15.6-hotspot\bin\javadoc.exe","OpenJDK Platform 17.0.15","Eclipse Adoptium","FDF732D53BC344B67EA2B3D14D493FCFACE47B772C4C0CAE219061BE862D2324","SHA256","Processed"
"javap.exe","C:\Program Files\Eclipse Adoptium\jdk-17.0.15.6-hotspot\bin\javap.exe","OpenJDK Platform 17.0.15","Eclipse Adoptium","CDF515AA0718F01AFFCB6B1D7E341898517BDE2706422D5D38DBC57DB5C3468A","SHA256","Processed"
"javaw.exe","C:\Program Files\Eclipse Adoptium\jdk-17.0.15.6-hotspot\bin\javaw.exe","OpenJDK Platform 17.0.15","Eclipse Adoptium","8E6161D6629DFF44DB1A721FD4099BEC271834CF3F3B62B110F368F335685713","SHA256","Processed"
"jcmd.exe","C:\Program Files\Eclipse Adoptium\jdk-17.0.15.6-hotspot\bin\jcmd.exe","OpenJDK Platform 17.0.15","Eclipse Adoptium","7B71BBAA66E5ED5E397CEBEDAAA0D0E5F2ACE6E7EBFBAD799FFBC3DB22282C49","SHA256","Processed"
